Character,Pinyin,Frequency,Log_frequency,Frequency_per_million,CD,Log_CD,CD%,Strokes,Radical,Gloss
子,zi,136902,5.13640979278424,2665.577294177165,109458,5.039247508515977,0.14011646289713298,3,子,"offspring, child"
千,qiān,132023,5.120649597137295,2570.5797658847346,116240,5.065355601289965,0.1487980563061881,3,十,thousand
三,sān,130627,5.116032952889115,2543.3986735510116,112093,5.049578492556663,0.14348950899457624,3,一,three
是,shì,128157,5.107742332551843,2495.3060531611154,108017,5.0334921112756845,0.13827184831405298,9,日,"indeed, yes, right"
今,jīn,128150,5.107718610520262,2495.1697582855163,112509,5.051187264616265,0.14402202784715173,4,人,"now, today, modern era"
行,xíng,128003,5.107220148305507,2492.3075658979396,107240,5.030356805310841,0.1372772157456608,6,行,go
高,gāo,127914,5.106918079975168,2490.574673908182,111991,5.049183122604203,0.1433589394682236,10,高,"high, tall"
明,míng,127798,5.106524057298434,2488.316073112543,110643,5.043923942822351,0.14163337357093572,8,日,"bright, light, brilliant"
里,lǐ,126720,5.1028451642454185,2467.3266622703136,112175,5.049896078205111,0.1435944766530166,7,里,unit of distance
空,kōng,126715,5.10282802791926,2467.2293087877424,111702,5.048060949133404,0.14298899247689112,8,穴,"empty, hollow, bare, deserted"
见,jiàn,126094,5.100694421792064,2455.138006252469,107151,5.029996228503888,0.13716328743345113,4,见,"see, observe, behold"
青,qīng,125441,5.098439507495583,2442.4236414287434,107870,5.032900678732676,0.1380836745848977,8,青,"blue, green"
去,qù,123951,5.093250034877378,2413.4123036226924,108683,5.036161617834403,0.13912439051553202,5,厶,"go away, leave, depart"
万,wàn,123798,5.092713628561482,2410.433287056031,106529,5.02746785026806,0.13636706934137915,3,一,ten thousand
老,lǎo,123047,5.090071029665571,2395.8107939739207,108505,5.035449751294014,0.1388965338911127,6,老,"old, aged"
夜,yè,122020,5.086431020656368,2375.814388653911,107551,5.031614452775204,0.1376753247916968,8,夕,"night, dark"
下,xià,121583,5.084872855180776,2367.305694277237,105920,5.024977972095624,0.13558749246345014,3,一,"under, underneath, below"
事,shì,121314,5.0839109226464645,2362.0680769149367,105707,5.024103747579076,0.1353148325701843,8,亅一,"affair, matter, business"
寒,hán,120787,5.0820201947811645,2351.8070198519913,108868,5.036900244625536,0.13936120779372063,12,宀,"cold, wintry, chilly"
谁,shuí,118679,5.074373878255592,2310.762791600209,106354,5.026753828467797,0.13614305299714669,10,讠,who? whom? whose? anyone?
玉,yù,117817,5.07120796000553,2293.979051205031,101863,5.008016462575086,0.13039415355744355,5,玉,"jade, precious stone, gem"
在,zài,117098,5.068549477511462,2279.9796204113727,101677,5.007222723790381,0.13015605618585932,6,土,"be at, in, on"
家,jiā,114554,5.0590102584978975,2230.4461684794305,98164,4.991952246770025,0.12565908808706683,10,宀,"house, home, residence"
处,chù,112698,5.051916208888422,2194.308555749209,97222,4.987764550908752,0.12445324010839831,5,夂,"place, locale"
可,kě,112143,5.049772169972021,2183.5023191838677,92329,4.9653381318149945,0.1181897431236583,5,口,"may, can, -able"
南,nán,111922,5.048915462216464,2179.1992952542455,98347,4.992761116636471,0.12589334517846423,9,十,south
与,yǔ,109170,5.038103310305897,2125.615938447365,91783,4.962762248849516,0.11749081212965298,3,一,and
金,jīn,108405,5.035049313773686,2110.720855614057,93042,4.968679037270997,0.11910244971473119,8,金,gold
声,shēng,107918,5.033093888137047,2101.2386264116767,95570,4.980321586008756,0.12233852581884375,7,士,"sound, voice, noise"
东,dōng,107645,5.031993862094107,2095.92312626332,95632,4.980603238489606,0.12241789160937182,5,一,"east, eastern, eastward"
酒,jiǔ,106901,5.028981767813554,2081.4369280568085,95533,4.980153416005865,0.12229116236320602,10,酉,"wine, spirits, liquor, alcoholic beverage"
落,luò,106474,5.027243569886699,2073.122940645276,94754,4.976597552584805,0.1212939696080226,12,艹,"fall, drop"
飞,fēi,106052,5.025518863147474,2064.9063067163133,94040,4.9733126204529015,0.1203799829235541,3,飞,fly
门,mén,105622,5.023754386791372,2056.5339072152383,93691,4.971697874366278,0.11993323032848477,3,门,"gate, door, entrance, opening"
流,liú,105605,5.023684480896687,2056.2029053744986,94350,4.9747419045009496,0.12077681187619449,10,氵,"flow, circulate, drift"
已,yǐ,105167,5.021879485385985,2047.67474030131,93234,4.969574317071451,0.1193482276466891,3,己,already
客,kè,105003,5.021201707306447,2044.481546072993,95802,4.981374575674549,0.12263550748662623,9,宀,"guest, traveller"
多,duō,104839,5.020522869804578,2041.2883518446763,94258,4.9743182205055305,0.12065904328379799,6,夕,"much, many"
前,qián,104325,5.018388393383746,2031.2804138364143,93574,4.971155194623729,0.11978345940119792,9,刂,"in front, forward"
道,dào,100942,5.004071905315032,1965.4110475291188,87577,4.942390064106153,0.11210673930769989,12,辶,"path, road, street"
新,xīn,100395,5.00171208405918,1954.760576535891,91266,4.9603090167184245,0.11682900384412047,13,斤,"new, recent, fresh, modern"
西,xī,99203,4.996524805861287,1931.5515062910501,88768,4.948256435057171,0.11363133054187634,6,西,west(ern)
成,chéng,97647,4.98965890503852,1901.255102515067,86537,4.937201835327356,0.11077544217626117,6,戈,"completed, finished, fixed"
欲,yù,96873,4.986202749342185,1886.1847834131315,86898,4.939009781063635,0.11123755589207789,11,欠,"desire, want, long for"
深,shēn,96448,4.984293226298519,1877.9097373946272,86719,4.938114261157112,0.11100841917426295,11,氵,deep
香,xiāng,95787,4.98130657159037,1865.0396069987887,85199,4.930434497383711,0.10906267721292945,9,香,"fragrant, sweet-smelling"
烟,yān,95415,4.979616654632213,1857.796507895533,88782,4.948324924189914,0.11364925184941493,10,火,"smoke, soot"
更,gèng,94889,4.97721586979093,1847.5549215291014,86386,4.936443364985809,0.11058214807352344,7,曰,"more, still further, much more"
古,gǔ,94878,4.977165521318263,1847.3407438674462,82912,4.91861739130573,0.10613510361715991,5,口,"old, classic, ancient"
看,kàn,94515,4.975500738670807,1840.2728810328176,86499,4.937011086690336,0.11072679862722784,9,目,"look, see"
书,shū,94190,4.974004796897414,1833.944904665726,82709,4.917552769983852,0.10587524465785024,4,乛,"book, letter, document"
出,chū,93729,4.971873983538603,1824.9689135727128,82741,4.917720765433767,0.10591620764650989,5,凵,"go out, send out"
海,hǎi,93663,4.971568064001047,1823.6838476027806,81421,4.910736432013104,0.10422648436429922,10,氵,"sea, ocean"
头,tóu,92734,4.9672389930997065,1805.5955705411554,82106,4.9143748948987245,0.1051033483402949,5,大,head
开,kāi,92006,4.963816149975168,1791.4209034788703,83448,4.921415932394864,0.1068212336772091,4,廾,open
地,dì,91713,4.96243089977152,1785.715989400231,82171,4.914718572258268,0.10518655441100982,6,土,earth
诗,shī,91384,4.960870163786525,1779.3101302470825,80722,4.90699191361294,0.10333169908076494,8,讠,poetry
重,zhòng,90291,4.955644462991985,1758.0286589571406,78962,4.897418139889083,0.10107873470448404,9,里,"heavy, weighty"
光,guāng,89182,4.950277207632608,1736.4356565229725,80172,4.9040227178013245,0.10262764771317716,6,儿,"light, brilliant, shine"
作,zuò,89180,4.950267468013588,1736.3967151299444,78220,4.893317811616112,0.10012890540493835,7,亻,make
黄,huáng,88858,4.948696533992194,1730.127150852395,79724,4.901589080474349,0.10205416587194202,11,黄,yellow
尽,jǐn,86801,4.938524728540319,1690.0759281228334,78501,4.8948751891237965,0.10048861164910591,6,尸,"exhaust, use up"
梦,mèng,86639,4.937713430955811,1686.9216752875448,79565,4.90072206711427,0.10185063102203937,11,木,dream
石,shí,86626,4.937648261091438,1686.6685562328612,74399,4.871567098215226,0.0952376685402967,5,石,"stone, rock, mineral"
草,cǎo,85931,4.934149865812666,1673.136422155542,77307,4.888218820227941,0.09896018013474263,9,艹,"grass, straw, thatch, herbs"
朝,cháo,85782,4.933396167559829,1670.235288374937,74563,4.872523373289527,0.09544760385717742,12,月,dynasty
能,néng,85479,4.931859432806231,1664.3356673311562,74713,4.873396175269904,0.09563961786651955,10,月,to be able
世,shì,84903,4.928923036067593,1653.1205461390182,73841,4.868297569539268,0.09452337642554401,5,一,generation
同,tóng,84030,4.92443436354323,1636.1226280821845,74735,4.873524038856849,0.09566777992122305,6,口,"same, similar"
入,rù,83932,4.9239275719587505,1634.2144998238,76634,4.884421494649597,0.09809867727949431,2,入,"enter, come in(to), join"
几,jǐ,83853,4.923518604928256,1632.676314799184,77107,4.887093806369715,0.0987041614556198,2,几,small table
游,yóu,83636,4.922393253946347,1628.451173655618,75590,4.8784643453414684,0.09676225977447314,12,氵,to swim
林,lín,82667,4.91733217729045,1609.5840687334278,75559,4.878286201534658,0.09672257687920911,8,木,"forest, grove"
十,shí,82591,4.916932724520217,1608.104295798354,72177,4.858398826871144,0.09239330101524207,2,十,"ten, tenth"
之,zhī,82307,4.9154367724187695,1602.5746179883417,47597,4.677579580356949,0.06092860535104641,3,丿丶,marks preceding phrase as modifier of following phrase
色,sè,82188,4.914808412257522,1600.2576051031606,75815,4.879755139309457,0.09705028078848633,6,色,"color, tint, hue, shade"
从,cóng,82031,4.913978005855918,1597.2007057504425,73690,4.867408556522791,0.09433008232280628,4,人,"from, by, since, whence, through"
情,qíng,81781,4.912652416707759,1592.3330316219103,74329,4.871158289974974,0.09514806200260371,11,忄,"feeling, sentiment, emotion"
还,hái,81726,4.912360243315726,1591.2621433136333,75650,4.878808932359205,0.09683906537820999,7,辶,"still, yet, also, besides"
远,yuǎn,81213,4.90962555358069,1581.2736760018856,74555,4.872476774544123,0.09543736311001251,7,辶,"distant, remote, far"
城,chéng,80652,4.906615141448404,1570.3506152574596,71701,4.8555252127313056,0.09178397655892974,9,土,castle
当,dāng,80364,4.905061544983804,1564.7430546613907,71312,4.8531626167421,0.09128602022803584,6,彐,"bear, accept, undertake"
回,huí,80324,4.9048453274736605,1563.9642268008256,73935,4.868850077210404,0.09464370520473174,6,囗,"return, turn around"
大,dà,79684,4.901371126800245,1551.5029810317837,65637,4.817148723002323,0.08402149020792557,3,大,"big, great, vast, large, high"
亦,yì,79178,4.8986045274751175,1541.650808595635,67631,4.830145809002618,0.08657399643878018,6,亠,"also, too"
思,sī,78751,4.896256077277187,1533.3368211841023,70886,4.850560470399993,0.09074070044150422,9,心,"think, consider, ponder"
气,qì,78310,4.893817223967463,1524.7502440213718,70863,4.850419534334533,0.09071125829340508,4,气,"steam, vapor"
红,hóng,78220,4.893317811616112,1522.9978813351004,69711,4.8433013127087765,0.0892365907016576,6,纟,"red, vermillion"
难,nán,78068,4.892473053450895,1520.0383354649528,69841,4.844110449073411,0.08940300284308743,10,隹,"difficult, arduous, hard"
间,jiān,77994,4.89206119413768,1518.5975039229072,70972,4.8510870438751486,0.09085078847352702,7,门,"midpoint, space"
树,shù,77936,4.891738112227694,1517.4682035250878,71404,4.853722541317756,0.09140378882043233,9,木,tree
雪,xuě,77891,4.891487279544926,1516.592022181952,70571,4.848626271485499,0.09033747102188576,11,雨,snow
平,píng,77811,4.891040996753316,1515.0343664608217,70496,4.848164475470673,0.0902414640172147,5,干,"flat, level, even"
意,yì,77735,4.890616602898749,1513.5545935257483,70951,4.850958520884702,0.09082390651221914,13,心,"thought, idea, opinion"
百,bǎi,77506,4.889335324003448,1509.0958040240128,68503,4.8357095912722246,0.0876902378797557,6,白,one hundred
名,míng,77161,4.887397847427882,1502.3784137266387,69249,4.840413506290744,0.08864518755288386,6,口,"name, rank, title, position"
马,mǎ,76564,4.884024614587862,1490.754407907704,67669,4.8303897586071445,0.08662263998781351,3,马,horse
然,rán,75939,4.880464873850112,1478.585222586374,67561,4.829696069129696,0.08648438990108719,12,灬,"yes, certainly"
将,jiāng,75785,4.879583254947621,1475.5867353231984,67017,4.826184982845613,0.08578801909387308,9,寸,"will, going to, future"
路,lù,75740,4.879325300784807,1474.7105539800625,70026,4.845259319443208,0.08963982012127605,13,足,"road, path, street"
龙,lóng,75244,4.876471874753836,1465.053088509055,65830,4.818423855092078,0.0842685482332791,5,龙,dragon
犹,yóu,74982,4.87495702020636,1459.9517660223532,69886,4.844390183875723,0.08946060704589007,7,犭,"like, similar to, just like, as"
尘,chén,74932,4.8746673244487875,1458.978231196647,69959,4.8448435930080995,0.0895540538637699,6,小,"dust, dirt, ashes, cinders"
愁,chóu,74906,4.87451660625123,1458.4719930872798,67758,4.830960578524205,0.08673656830002317,13,心,anxiety
似,shì,74774,4.873750613647375,1455.9018611474148,68204,4.833809845726654,0.08730748995446708,6,亻,"resemble, similar to"
身,shēn,73930,4.868820706197517,1439.4685932894906,65704,4.817591809819257,0.08410725646543171,7,身,body
过,guò,73799,4.868050477034093,1436.9179320461399,68776,4.8374369137301985,0.08803970337675837,6,辶,"pass, pass through, go across"
到,dào,73239,4.864742405844749,1426.014341998228,67836,4.831460231507743,0.08683641558488107,8,刂,"go to, arrive, been to"
独,dú,72997,4.863305012035277,1421.3024334418092,67674,4.830421847040392,0.08662904045479158,9,犭,"alone, single, solitary, only"
阳,yáng,72745,4.861803148214178,1416.3958179202489,66217,4.820969500895674,0.08476394437738177,6,阝,'male' principle
满,mǎn,72414,4.8598225376745665,1409.9510173740725,67163,4.8271300867266875,0.08597491272963276,13,氵,fill
公,gōng,71658,4.8552646826874035,1395.2311708093916,57113,4.756734973143698,0.0731099741037106,4,八,"fair, equitable"
旧,jiù,71632,4.85510707703937,1394.724932700024,67150,4.827046017004734,0.08595827151548976,5,日,"old, ancient"
小,xiǎo,71543,4.854567147388692,1392.9920407102668,64089,4.806783495209124,0.08203990563151488,3,小,"small, tiny, insignificant"
衣,yī,71003,4.851276698802466,1382.4778645926378,65663,4.817320720819185,0.08405477263621154,6,衣,"clothes, clothing"
歌,gē,71002,4.851270582194151,1382.4583938961237,64039,4.806444541581541,0.08197590096173417,14,欠,"song, lyrics"
莫,mò,70767,4.8498307851055875,1377.8827802153035,64460,4.809290301176316,0.08251482028128772,10,艹,"do not, is not, can not"
华,huá,70727,4.849585237170849,1377.1039523547383,64129,4.807054467768977,0.08209110936733945,6,十,flowery
好,hǎo,70269,4.846763773124921,1368.1863733512675,63983,4.806064599188238,0.08190421573157977,6,女,"good, excellent, fine"
复,fù,69295,4.840701899103159,1349.2219149465068,60727,4.783381826888621,0.07773623163546012,9,夂,return
应,yīng,68663,4.836722774548262,1336.916434749578,64518,4.809680896187066,0.08258906569823335,7,广,"should, ought to, must"
分,fēn,67968,4.832304490729337,1323.3843006722589,61995,4.792356664337389,0.07935939006109886,4,刀,divide
望,wàng,67882,4.831754629405333,1321.709820772044,62361,4.794913070772734,0.07982790424389363,11,月,"to look at, look forward"
闻,wén,67562,4.8297024972652745,1315.4791978875228,61545,4.789192776022594,0.07878334803307249,9,门,hear
向,xiàng,67381,4.8285374520481765,1311.9550018184657,62607,4.796622893776156,0.08014280721921471,6,口,"toward, direction, trend"
仙,xiān,66930,4.8256208250035,1303.173717690594,58694,4.768593707719943,0.07513380176217657,5,亻,"Taoist super-being, transcendent, immortal"
方,fāng,66637,4.823715436886528,1297.4688036119544,59290,4.772981450344964,0.0758967374259626,4,方,"a square, rectangle"
后,hòu,64486,4.8094654389344855,1255.5873354100647,59004,4.770881454337786,0.07553063071481696,6,口,"queen, empress, sovereign"
笑,xiào,64436,4.809128572842059,1254.6138005843584,59254,4.772717673151193,0.07585065406372049,10,竹,"smile, laugh, giggle"
非,fēi,64259,4.807933962767613,1251.1674873013578,54260,4.734479789425577,0.06945786764602345,8,非,"not, negative, non-"
起,qǐ,63530,4.802978855335262,1236.9733495425585,58859,4.769812879269349,0.0753450171724529,10,走,"rise, stand up"
五,wǔ,63378,4.80193853017349,1234.0138036724109,56703,4.753606036829045,0.07258513581150881,4,二,five
安,ān,63225,4.8008888380164425,1231.0347871057493,56542,4.752371166261774,0.07237904077481493,6,宀,"peaceful, tranquil, quiet"
楼,lóu,63134,4.8002633059263555,1229.2629537229636,57252,4.757790662606551,0.07328790708570097,13,木,building of two or more stories
问,wèn,62597,4.796553519877107,1218.807189694877,58283,4.765541898106762,0.07460768337657915,6,门,"ask about, inquire after"
故,gù,62433,4.795414203938856,1215.6139954665598,57321,4.758313758324986,0.07337623352999835,9,攵,"ancient, old"
外,wài,62289,4.7944113586800805,1212.8102151685255,58348,4.7660259742828455,0.07469088944729407,5,夕,"out, outside, external"
真,zhēn,62045,4.792706788898357,1208.059365219078,54999,4.740354793159151,0.0704038566653823,10,目,"real, actual, true, genuine"
岁,suì,61612,4.789665306746111,1199.6285536284606,54435,4.735878227256237,0.06968188399025593,6,山,year
文,wén,61371,4.787963199883958,1194.9361157685557,53763,4.73048349455273,0.06882166122840322,4,文,"literature, culture, writing"
别,bié,61171,4.786545580235124,1191.0419764657302,56106,4.749009307380145,0.07182092005432716,7,刂,"separate, other"
须,xū,60855,4.784296266760006,1184.8892363672658,55395,4.74347056670666,0.07091077365004551,9,页,"must, have to, necessary"
言,yán,60455,4.7814322255046475,1177.1009577616146,51149,4.708837147359474,0.06547549709226785,7,言,"words, speech"
神,shén,60000,4.778151250383643,1168.2417908476862,51175,4.709057851334543,0.06550877952055383,9,礻,"spirit, god, supernatural being"
发,fā,58620,4.768045814102416,1141.3722296581896,53719,4.730127919511864,0.0687653371189962,5,又,"issue, dispatch, send out"
竹,zhú,58452,4.766799375619394,1138.1011526438158,53788,4.730685396203913,0.06885366356329357,6,竹,bamboo
阴,yīn,57888,4.762588545179719,1127.1196798098474,52266,4.718219264122996,0.06690536141516885,6,阝,'female' principle
醉,zuì,57860,4.762378429311964,1126.5745003074521,53194,4.725862648952111,0.06809328808629878,15,酉,"intoxicated, drunk"
孤,gū,57540,4.759969857554307,1120.343877422931,54031,4.732643005489647,0.06916472625842782,8,子,"orphan, fatherless"
坐,zuò,57499,4.759660291676441,1119.5455788658517,53480,4.728191398589946,0.06845939479744442,7,土,sit
初,chū,57434,4.759169063842252,1118.2799835924334,53873,4.731371160568575,0.06896247150192078,7,刀,"beginning, initial, primary"
台,tái,56752,4.753981171127867,1105.000968569798,51377,4.710768741396191,0.06576735838646788,5,口,platform
边,biān,56221,4.749898566113462,1094.6620287207961,52424,4.719530154948082,0.06710761617167589,5,辶,"edge, margin, side, border"
北,běi,56099,4.748955119752548,1092.2866037460724,51656,4.713120773397783,0.06612450444384423,5,匕,north
留,liú,55856,4.747069831470103,1087.5552244931393,52751,4.7222306969624395,0.06752620671204171,10,田,"stop, halt"
幽,yōu,55261,4.742418739620528,1075.970160067233,51033,4.707851099297343,0.0653270062583766,9,幺,"quiet, secluded, tranquil"
松,sōng,55234,4.742206495605056,1075.4444512613518,50300,4.701567985055926,0.06438869779939144,8,木,pine tree
以,yǐ,55104,4.741183125437542,1072.913260714515,37946,4.579166002379458,0.04857442398997431,4,人,by means of
两,liǎng,55058,4.740820431453614,1072.017608674865,49809,4.697307822622937,0.0637601719421449,7,一,"two, both, pair, couple"
半,bàn,54990,4.740283719681878,1070.6936013119043,50217,4.700850764084539,0.06428245004755546,5,十,half
霜,shuāng,54944,4.739920273480823,1069.7979492722545,51914,4.7152844927779185,0.06645476853991267,17,雨,frost
叶,yè,54481,4.736245070463028,1060.783016786213,49847,4.6976390257840555,0.06380881549117824,5,口,"to harmonize, to rhyme"
吾,wú,54317,4.7349357752741925,1057.5898225578962,45955,4.662332770439755,0.05882669199544799,7,口,"i, my, our"
溪,xī,54179,4.733830984852006,1054.9028664389466,47807,4.679491491566019,0.061197424964125384,13,氵,"mountain stream, creek"
影,yǐng,54012,4.732490258986103,1051.651260121087,50459,4.702938639388347,0.06459223264929409,15,彡,shadow
岂,qǐ,53534,4.728629694588848,1042.3442671873338,47564,4.677278370439497,0.06088636226899115,6,山,how? what?
绿,lǜ,53132,4.725356163973276,1034.5170471886545,49922,4.698291975944492,0.06390482249584929,11,纟,green
少,shǎo,52778,4.7224529287900365,1027.624420622653,48936,4.6896284674897455,0.06264265040777375,4,小,"few, less, inadequate"
所,suǒ,52751,4.7222306969624395,1027.0987118167716,41792,4.6210931552589605,0.05349766318950631,8,户,"place, location"
王,wáng,52276,4.718302349291297,1017.8501309725608,45146,4.654619277243466,0.057791096438396146,4,玉,"king, ruler"
四,sì,52211,4.717762011355187,1016.5845356991424,47257,4.674466148003076,0.0604933735965376,5,囗,four
先,xiān,52152,4.71727096803213,1015.4357646048088,46903,4.671200621857459,0.060040220534490193,6,儿,"first, former, previous"
正,zhèng,51968,4.715736003225062,1011.8531564462094,48175,4.68282172332749,0.06166849933371139,5,止,"right, proper, correct"
随,suí,51604,4.712683366561293,1004.7658229150666,48403,4.684872279889634,0.06196036062791141,11,阝,"follow, listen to, submit to"
语,yǔ,51533,4.712085425704257,1003.3834034625636,47676,4.678299811102987,0.06102973272929993,9,讠,"language, words"
传,chuán,51522,4.711992713282364,1003.1692258009081,47803,4.679455152732661,0.06119230459054292,6,亻,summon
双,shuāng,51474,4.711587918209924,1002.2346323682299,46147,4.664143472950342,0.059072469927405905,4,又,"set of two, pair, couple"
湖,hú,51318,4.710269722412765,999.1972037120261,45088,4.654060971429262,0.05771685102145053,12,氵,a lake
又,yòu,50947,4.707118615784939,991.9735753052845,47398,4.6757600166257935,0.0606738667653192,2,又,"and, also, again, in addition"
野,yě,50814,4.705983383250225,989.3839726689055,47642,4.6779899847740465,0.06098620955384905,11,里,"open country, field"
晚,wǎn,50753,4.705461718406696,988.1962601815436,48586,4.686511145833225,0.0621946177193088,11,日,"night, evening"
碧,bì,50471,4.703041909651051,982.7055237645594,47554,4.677187053447234,0.060873561335035006,14,石,jade
物,wù,50396,4.702396067261658,981.2452215259999,44572,4.649062121846467,0.057056322829313624,8,牜,"thing, substance, creature"
柳,liǔ,50359,4.7020770975519115,980.524805754977,46933,4.671478315597623,0.06007862333635862,9,木,willow tree
馀,yú,50091,4.699759701886097,975.3066590891908,46766,4.669930225323987,0.05986484773929106,10,饣,"surplus, excess, remainder"
波,bō,49672,4.6961116468379265,967.1484372497712,46175,4.664406904112278,0.059108312542483096,8,氵,"waves, breakers"
翠,cuì,49337,4.693172738119735,960.6257539175382,46446,4.666948317840324,0.05945521785269453,14,羽,color green
九,jiǔ,49231,4.692238657427663,958.5618600870407,44166,4.645088068115283,0.05653660491069428,2,丿乙,nine
曾,céng,49138,4.691417475981259,956.7510853112268,46189,4.664538559796164,0.0591262338500217,12,曰,already
共,gòng,49077,4.6908780071261456,955.5633728238648,46538,4.667807715271561,0.059572986445091035,6,八,"together with, all, total"
怀,huái,48990,4.69010743945633,953.8694222271357,45648,4.659421754313001,0.05843370332299445,7,忄,"bosom, breast"
枝,zhī,48918,4.689468692707673,952.4675320781186,43656,4.640043940775089,0.05588375727893107,8,木,"branches, limbs"
浮,fú,48749,4.687965711338427,949.1769843672308,45274,4.655848866511702,0.05795494839303476,10,氵,"to float, drift, waft"
国,guó,48400,4.684845361644412,942.3817112838002,43659,4.640073784065388,0.055887597559117916,8,囗,"nation, country, nation-state"
河,hé,48339,4.684297661814824,941.1939987964383,43388,4.637369631484764,0.05554069224890648,8,氵,river
眼,yǎn,48309,4.684028047650526,940.6098779010144,44797,4.651248930804595,0.05734434384332681,11,目,eye
露,lù,48304,4.6839830956790225,940.512524418444,45416,4.657208881217357,0.05813672165521196,21,雨,dew
吹,chuī,48196,4.683010995707445,938.409689194918,45236,4.655484195397307,0.057906304844001416,7,口,blow
